Method,Nodes,Cyclomatic Complexity
org/assertj/core/data/Percentage.withPercentage(D)Lorg/assertj/core/data/Percentage;,37,2
org/assertj/core/data/Percentage.<init>(D)V,14,1
org/assertj/core/data/Percentage.equals(Ljava/lang/Object;)Z,42,4
org/assertj/core/data/Percentage.hashCode()I,21,1
org/assertj/core/data/Percentage.toString()Ljava/lang/String;,34,2
org/assertj/core/data/Percentage.noFractionalPart()Z,17,2
org/assertj/core/data/Index.atIndex(I)Lorg/assertj/core/data/Index;,24,2
org/assertj/core/data/Index.<init>(I)V,14,1
org/assertj/core/data/Index.equals(Ljava/lang/Object;)Z,47,5
org/assertj/core/data/Index.hashCode()I,19,1
org/assertj/core/data/Index.toString()Ljava/lang/String;,21,1
org/assertj/core/data/TemporalUnitWithinOffset.<init>(JLjava/time/temporal/TemporalUnit;)V,11,1
org/assertj/core/data/TemporalUnitWithinOffset.isBeyondOffset(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Z,18,2
org/assertj/core/data/TemporalUnitWithinOffset.getBeyondOffsetDifferenceDescription(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Ljava/lang/String;,15,1
org/assertj/core/data/TemporalUnitLessThanOffset.<init>(JLjava/time/temporal/TemporalUnit;)V,11,1
org/assertj/core/data/TemporalUnitLessThanOffset.isBeyondOffset(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Z,18,2
org/assertj/core/data/TemporalUnitLessThanOffset.getBeyondOffsetDifferenceDescription(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Ljava/lang/String;,15,1
org/assertj/core/data/TemporalUnitOffset.<init>(JLjava/time/temporal/TemporalUnit;)V,29,1
org/assertj/core/data/TemporalUnitOffset.checkThatValueIsPositive(J)V,22,2
org/assertj/core/data/TemporalUnitOffset.getBeyondOffsetDifferenceDescription(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Ljava/lang/String;,33,1
org/assertj/core/data/TemporalUnitOffset.getDifference(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)J,11,1
org/assertj/core/data/TemporalUnitOffset.getUnit()Ljava/time/temporal/TemporalUnit;,7,1
org/assertj/core/data/TemporalUnitOffset.getValue()J,7,1
org/assertj/core/data/MapEntry.entry(Ljava/lang/Object;Ljava/lang/Object;)Lorg/assertj/core/data/MapEntry;,10,1
org/assertj/core/data/MapEntry.<init>(Ljava/lang/Object;Ljava/lang/Object;)V,19,1
org/assertj/core/data/MapEntry.equals(Ljava/lang/Object;)Z,39,4
org/assertj/core/data/MapEntry.hashCode()I,12,1
org/assertj/core/data/MapEntry.toString()Ljava/lang/String;,9,1
org/assertj/core/data/MapEntry.getKey()Ljava/lang/Object;,7,1
org/assertj/core/data/MapEntry.getValue()Ljava/lang/Object;,7,1
org/assertj/core/data/MapEntry.setValue(Ljava/lang/Object;)Ljava/lang/Object;,8,1
org/assertj/core/data/Offset.offset(Ljava/lang/Number;)Lorg/assertj/core/data/Offset;,32,2
org/assertj/core/data/Offset.<init>(Ljava/lang/Number;)V,14,1
org/assertj/core/data/Offset.equals(Ljava/lang/Object;)Z,46,4
org/assertj/core/data/Offset.hashCode()I,20,1
org/assertj/core/data/Offset.toString()Ljava/lang/String;,20,1
org/assertj/core/data/TemporalOffset.isBeyondOffset(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Z,2,1
org/assertj/core/data/TemporalOffset.getBeyondOffsetDifferenceDescription(Ljava/time/temporal/Temporal;Ljava/time/temporal/Temporal;)Ljava/lang/String;,2,1
org/assertj/core/configuration/Services.<init>()V,7,1
org/assertj/core/configuration/Services.get(Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,59,3
org/assertj/core/configuration/ConfigurationProvider.<clinit>()V,9,1
org/assertj/core/configuration/ConfigurationProvider.<init>()V,17,1
org/assertj/core/configuration/ConfigurationProvider.representation()Lorg/assertj/core/presentation/Representation;,7,1
org/assertj/core/internal/BinaryDiffResult.<init>(III)V,28,1
org/assertj/core/internal/BinaryDiffResult.hasNoDiff()Z,14,2
org/assertj/core/internal/BinaryDiffResult.noDiff()Lorg/assertj/core/internal/BinaryDiffResult;,11,1
org/assertj/core/internal/BinaryDiffResult.describe(I)Ljava/lang/String;,23,2
org/assertj/core/internal/Classes.<clinit>()V,9,1
org/assertj/core/internal/Classes.<init>()V,19,1
org/assertj/core/internal/Classes.instance()Lorg/assertj/core/internal/Classes;,6,1
org/assertj/core/internal/Classes.assertIsAssignableFrom(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/Class;)V,84,5
org/assertj/core/internal/Classes.assertIsNotInterface(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,23,2
org/assertj/core/internal/Classes.assertIsInterface(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,23,2
org/assertj/core/internal/Classes.assertIsNotAnnotation(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,23,2
org/assertj/core/internal/Classes.assertIsAnnotation(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,23,2
org/assertj/core/internal/Classes.assertIsFinal(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,24,2
org/assertj/core/internal/Classes.assertIsPublic(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,26,2
org/assertj/core/internal/Classes.assertIsProtected(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,26,2
org/assertj/core/internal/Classes.assertIsNotFinal(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;)V,24,2
org/assertj/core/internal/Classes.assertContainsAnnotations(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/Class;)V,68,4
org/assertj/core/internal/Classes.assertHasPublicFields(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,66,4
org/assertj/core/internal/Classes.assertHasOnlyPublicFields(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,117,7
org/assertj/core/internal/Classes.noMissingElement(Ljava/util/Set;Ljava/util/Set;Ljava/util/Set;)Z,35,3
org/assertj/core/internal/Classes.assertHasDeclaredFields(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,66,4
org/assertj/core/internal/Classes.assertHasOnlyDeclaredFields(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,121,7
org/assertj/core/internal/Classes.fieldsToName(Ljava/util/Set;)Ljava/util/Set;,37,2
org/assertj/core/internal/Classes.assertHasMethods(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,21,1
org/assertj/core/internal/Classes.assertHasDeclaredMethods(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;[Ljava/lang/String;)V,21,1
org/assertj/core/internal/Classes.doAssertHasMethods(Lorg/assertj/core/api/AssertionInfo;Ljava/lang/Class;Ljava/util/Set;Z[Ljava/lang/String;)V,69,4
